titles,publish_year,length,age_restriction,votes,rating
Saltburn,2023,2h 11m,R,152K,7.1
Poor Things,2023,2h 21m,R,60K,8.4
The Bear,2021 ,1h 25m,TV-MA,190K,8.6
Mean Girls,2024,1h 52m,PG-13,11K,6.3
Ted,2021 ,1h 25m,TV-MA,14K,8.0
The Holdovers,2023,2h 13m,R,77K,8.0
Wonka,2023,1h 56m,PG,82K,7.2
Hazbin Hotel,2021 ,1h 25m,TV-MA,11K,7.7
Anyone But You,2023,1h 43m,R,15K,6.7
Lift,2024,1h 47m,PG-13,27K,5.5
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,not available,not available
Barbie,2023,1h 54m,PG-13,480K,6.9
Succession,2021 ,1h 25m,TV-MA,259K,8.9
Loudermilk,2021 ,1h 25m,TV-MA,12K,7.9
American Fiction,2023,1h 57m,R,8K,7.9
The Brothers Sun,2021 ,1h 25m,TV-MA,15K,7.7
The Boys,2021 ,1h 25m,TV-MA,627K,8.7
Suits,2021 ,1h 25m,TV-MA,468K,8.4
Shameless,2021 ,1h 25m,TV-MA,277K,8.5
Beef,2021 ,1h 25m,TV-MA,124K,8.0
No Hard Feelings,2023,1h 43m,R,141K,6.4
The Office,2021 ,1h 25m,TV-MA,694K,9.0
Young Sheldon,2021 ,1h 25m,TV-MA,93K,7.6
Rick and Morty,2021 ,1h 25m,TV-MA,591K,9.1
The White Lotus,2021 ,1h 25m,TV-MA,197K,8.0
Migration,2023,1h 23m,PG,10K,6.7
Ted Lasso,2021 ,1h 25m,TV-MA,334K,8.8
Dumb Money,2023,1h 45m,R,30K,6.9
Role Play,2023,1h 40m,R,10K,5.5
Friends,2021 ,1h 25m,TV-MA,1.1M,8.9
The Big Bang Theory,2021 ,1h 25m,TV-MA,857K,8.2
Queenpins,2021,1h 50m,R,21K,6.4
Northern Exposure,2021 ,1h 25m,TV-MA,20K,8.4
Wish,2023,1h 35m,PG,18K,5.7
Self Reliance,2023,1h 25m,R,8.3K,6.1
Sadzageli gogoebi,2004,1h 37m,PG-13,426K,7.1
Only Murders in the Building,2021 ,1h 25m,TV-MA,151K,8.1
Hit Man,2023,1h 53m,R,834,7.8
Tanamedrove ojakhi,2021 ,1h 25m,TV-MA,474K,8.5
Queen Bees,2021,1h 40m,PG-13,3.3K,6.3
May December,2023,1h 57m,R,39K,6.9
Miller's Girl,2024,1h 33m,R,845,5.5
The Favourite,2018,1h 59m,R,222K,7.5
This Is Us,2021 ,1h 25m,TV-MA,156K,8.7
It's Always Sunny in Philadelphia,2021 ,1h 25m,TV-MA,248K,8.8
The Curse,2021 ,1h 25m,TV-MA,8K,7.1
One Piece: Wan pîsu,2021 ,1h 25m,TV-MA,221K,8.9
Deadpool 3,2024,not available,not available,not available,not available
Once Upon a Time in... Hollywood,2019,2h 41m,R,828K,7.6
Seinfeld,2021 ,1h 25m,TV-MA,346K,8.9
Reacher,2021 ,1h 25m,TV-MA,193K,8.1
Masters of the Air,2021 ,1h 25m,TV-MA,5.1K,8.0
Road House,2024,1h 54m,R,not available,not available
Percy Jackson and the Olympians,2021 ,1h 25m,TV-MA,22K,7.3
The Beekeeper,2024,1h 45m,R,22K,6.6
Lift,2024,1h 47m,PG-13,27K,5.5
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,not available,not available
Fighter,2021 ,1h 25m,TV-MA,32K,7.7
Aquaman and the Lost Kingdom,2023,2h 4m,PG-13,45K,5.8
Argylle,2024,2h 19m,PG-13,760,6.2
Samefo Karis Tamashebi,2021 ,1h 25m,TV-MA,2.3M,9.2
Echo,2021 ,1h 25m,TV-MA,27K,6.1
The Brothers Sun,2021 ,1h 25m,TV-MA,15K,7.7
The Boys,2021 ,1h 25m,TV-MA,627K,8.7
The Creator,2023,2h 13m,PG-13,131K,6.8
Animal,2021 ,1h 25m,TV-MA,73K,6.5
Indian Police Force,2024 ,not available,not available,41K,5.5
Napoleon,2023,2h 38m,R,101K,6.5
Godzila minus erti,2023,2h 4m,PG-13,42K,8.3
The Rookie,2021 ,1h 25m,TV-MA,64K,8.0
Salaar: Cease Fire - Part 1,2021 ,1h 25m,TV-MA,57K,6.6
Monarch: Legacy of Monsters,2021 ,1h 25m,TV-MA,30K,7.0
Migration,2023,1h 23m,PG,10K,6.7
The Last of Us,2021 ,1h 25m,TV-MA,494K,8.8
Role Play,2023,1h 40m,R,10K,5.5
The Marvels,2023,1h 45m,PG-13,83K,5.6
Madame Web,2024,1h 56m,PG-13,not available,not available
Rebel Moon - Part One: A Child of Fire,2023,2h 13m,PG-13,94K,5.6
Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,221K,7.7
House of the Dragon,2021 ,1h 25m,TV-MA,359K,8.4
Hit Man,2023,1h 53m,R,834,7.8
NCIS: Naval Criminal Investigative Service,2021 ,1h 25m,TV-MA,160K,7.8
Zorro,2024 ,not available,not available,1.1K,6.2
Hanu Man,2021 ,1h 25m,TV-MA,16K,8.6
Berlín,2021 ,1h 25m,TV-MA,23K,7.0
Legenda tarzanze,2016,1h 50m,PG-13,187K,6.2
Road House,1989,1h 54m,R,85K,6.7
The Hunger Games: The Ballad of Songbirds & Snakes,2023,2h 37m,PG-13,92K,6.9
Dune: Part Two,2024,2h 46m,PG-13,not available,not available
Shingeki no Kyojin,2021 ,1h 25m,TV-MA,493K,9.1
Vikings,2021 ,1h 25m,TV-MA,573K,8.5
Ore dake Level Up na Ken,2021 ,1h 25m,TV-MA,5.7K,8.5
Chicago Fire,2021 ,1h 25m,TV-MA,63K,8.0
Dune: Part One,2021,2h 35m,PG-13,751K,8.0
One Piece: Wan pîsu,2021 ,1h 25m,TV-MA,221K,8.9
Deadpool 3,2024,not available,not available,not available,not available
60 Minuten,2024,1h 28m,TV-MA,2.4K,5.7
Jujutsu Kaisen,2021 ,1h 25m,TV-MA,105K,8.6
Halo,2021 ,1h 25m,TV-MA,74K,7.2
The Tourist,2021 ,1h 25m,TV-MA,22K,7.0
Wonka,2023,1h 56m,PG,82K,7.2
Percy Jackson and the Olympians,2021 ,1h 25m,TV-MA,22K,7.3
La sociedad de la nieve,2023,2h 24m,R,79K,7.9
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,not available,not available
The Kitchen,2023,1h 47m,R,5.2K,4.9
Fighter,2021 ,1h 25m,TV-MA,32K,7.7
Barbie,2023,1h 54m,PG-13,480K,6.9
Aquaman and the Lost Kingdom,2023,2h 4m,PG-13,45K,5.8
Samefo Karis Tamashebi,2021 ,1h 25m,TV-MA,2.3M,9.2
Echo,2021 ,1h 25m,TV-MA,27K,6.1
The Creator,2023,2h 13m,PG-13,131K,6.8
Doctor Who,2021 ,1h 25m,TV-MA,244K,8.6
Napoleon,2023,2h 38m,R,101K,6.5
Rick and Morty,2021 ,1h 25m,TV-MA,591K,9.1
Godzila minus erti,2023,2h 4m,PG-13,42K,8.3
Spaceman,2024,1h 47m,R,not available,not available
Monarch: Legacy of Monsters,2021 ,1h 25m,TV-MA,30K,7.0
Migration,2023,1h 23m,PG,10K,6.7
The Last of Us,2021 ,1h 25m,TV-MA,494K,8.8
The Marvels,2023,1h 45m,PG-13,83K,5.6
Wish,2023,1h 35m,PG,18K,5.7
Madame Web,2024,1h 56m,PG-13,not available,not available
Rebel Moon - Part One: A Child of Fire,2023,2h 13m,PG-13,94K,5.6
Mission: Impossible - Dead Reckoning Part One,2023,2h 43m,PG-13,221K,7.7
House of the Dragon,2021 ,1h 25m,TV-MA,359K,8.4
Hanu Man,2021 ,1h 25m,TV-MA,16K,8.6
Legenda tarzanze,2016,1h 50m,PG-13,187K,6.2
The Hunger Games: The Ballad of Songbirds & Snakes,2023,2h 37m,PG-13,92K,6.9
Dune: Part Two,2024,2h 46m,PG-13,not available,not available
Shingeki no Kyojin,2021 ,1h 25m,TV-MA,493K,9.1
Kimitachi wa dô ikiru ka,2023,2h 4m,PG-13,39K,7.6
Vikings,2021 ,1h 25m,TV-MA,573K,8.5
Ore dake Level Up na Ken,2021 ,1h 25m,TV-MA,5.7K,8.5
Dune: Part One,2021,2h 35m,PG-13,751K,8.0
One Piece: Wan pîsu,2021 ,1h 25m,TV-MA,221K,8.9
60 Minuten,2024,1h 28m,TV-MA,2.4K,5.7
Jujutsu Kaisen,2021 ,1h 25m,TV-MA,105K,8.6
Halo,2021 ,1h 25m,TV-MA,74K,7.2
Invincible,2021 ,1h 25m,TV-MA,189K,8.7
Blue Eye Samurai,2021 ,1h 25m,TV-MA,52K,8.8
Interstelari,2014,2h 49m,PG-13,2.1M,8.7
The Witcher,2021 ,1h 25m,TV-MA,563K,8.0
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,340K,8.6
Dakargulebi,2021 ,1h 25m,TV-MA,588K,8.3
Indiana Jones and the Dial of Destiny,2023,2h 34m,PG-13,186K,6.6
Gladiator 2,2024,not available,not available,not available,not available
Forsaji X,2023,2h 21m,PG-13,113K,5.8
Masters of the Universe: Revolution,2021 ,1h 25m,TV-MA,1.4K,7.8
Alive,1993,2h 8m,R,63K,7.1
Trolls Band Together,2023,1h 31m,PG,10K,6.0
True Detective,2021 ,1h 25m,TV-MA,630K,8.9
Reacher,2021 ,1h 25m,TV-MA,193K,8.1
Fargo,2021 ,1h 25m,TV-MA,411K,8.9
Griselda,2021 ,1h 25m,TV-MA,11K,7.5
Fool Me Once,2021 ,1h 25m,TV-MA,39K,6.8
Killers of the Flower Moon,2023,3h 26m,R,186K,7.7
Hazbin Hotel,2021 ,1h 25m,TV-MA,11K,7.7
Boy Swallows Universe,2021 ,1h 25m,TV-MA,10K,8.1
Anatomie d'une chute,2023,2h 31m,R,52K,7.8
Lift,2024,1h 47m,PG-13,27K,5.5
Death and Other Details,2021 ,1h 25m,TV-MA,2.7K,7.0
Echo,2021 ,1h 25m,TV-MA,27K,6.1
Sopranos klani,2021 ,1h 25m,TV-MA,458K,9.2
The Boys,2021 ,1h 25m,TV-MA,627K,8.7
American Nightmare,2021 ,1h 25m,TV-MA,9.9K,7.6
Animal,2021 ,1h 25m,TV-MA,73K,6.5
Breaking Bad,2021 ,1h 25m,TV-MA,2.1M,9.5
Indian Police Force,2024 ,not available,not available,41K,5.5
Law & Order: Special Victims Unit,2021 ,1h 25m,TV-MA,121K,8.1
The Rookie,2021 ,1h 25m,TV-MA,64K,8.0
Salaar: Cease Fire - Part 1,2021 ,1h 25m,TV-MA,57K,6.6
Criminal Minds,2021 ,1h 25m,TV-MA,215K,8.1
Peaky Blinders,2021 ,1h 25m,TV-MA,632K,8.8
Monsieur Spade,2024 ,not available,not available,1.4K,7.2
The Artful Dodger,2021 ,1h 25m,TV-MA,6.7K,8.0
Criminal Record,2021 ,1h 25m,TV-MA,2K,7.2
Queenpins,2021,1h 50m,R,21K,6.4
Only Murders in the Building,2021 ,1h 25m,TV-MA,151K,8.1
Better Call Saul,2021 ,1h 25m,TV-MA,631K,9.0
NCIS: Naval Criminal Investigative Service,2021 ,1h 25m,TV-MA,160K,7.8
Berlín,2021 ,1h 25m,TV-MA,23K,7.0
Law & Order,2021 ,1h 25m,TV-MA,43K,7.8
Midsomer Murders,2021 ,1h 25m,TV-MA,38K,7.9
The Wire,2021 ,1h 25m,TV-MA,371K,9.3
Ripley,2024,not available,not available,not available,not available
Bones,2021 ,1h 25m,TV-MA,174K,7.8
Vera,2021 ,1h 25m,TV-MA,19K,8.1
You,2021 ,1h 25m,TV-MA,293K,7.7
The X Files,2021 ,1h 25m,TV-MA,246K,8.6
Dr. Death,2021 ,1h 25m,TV-MA,16K,7.6
La casa de papel,2021 ,1h 25m,TV-MA,523K,8.2
Sound of Freedom,2023,2h 11m,PG-13,105K,7.7
Forsaji X,2023,2h 21m,PG-13,113K,5.8
The Batman,2022,2h 56m,PG-13,766K,7.8
Natlimama,1972,2h 55m,R,2M,9.2
Daredevil,2021 ,1h 25m,TV-MA,469K,8.6
Dogman,2023,1h 53m,R,4.3K,6.7
The Gentlemen,2021 ,1h 25m,TV-MA,not available,not available
The Stranger,2021 ,1h 25m,TV-MA,59K,7.3
Bodies,2021 ,1h 25m,TV-MA,48K,7.3
Hazbin Hotel,2021 ,1h 25m,TV-MA,11K,7.7
Rick and Morty,2021 ,1h 25m,TV-MA,591K,9.1
Migration,2023,1h 23m,PG,10K,6.7
Wish,2023,1h 35m,PG,18K,5.7
Shingeki no Kyojin,2021 ,1h 25m,TV-MA,493K,9.1
Kimitachi wa dô ikiru ka,2023,2h 4m,PG-13,39K,7.6
Ore dake Level Up na Ken,2021 ,1h 25m,TV-MA,5.7K,8.5
One Piece: Wan pîsu,2021 ,1h 25m,TV-MA,221K,8.9
Jujutsu Kaisen,2021 ,1h 25m,TV-MA,105K,8.6
Invincible,2021 ,1h 25m,TV-MA,189K,8.7
Blue Eye Samurai,2021 ,1h 25m,TV-MA,52K,8.8
Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,340K,8.6
Masters of the Universe: Revolution,2021 ,1h 25m,TV-MA,1.4K,7.8
Trolls Band Together,2023,1h 31m,PG,10K,6.0
What If...?,2021 ,1h 25m,TV-MA,140K,7.4
Family Guy,2021 ,1h 25m,TV-MA,361K,8.2
The Simpsons,2021 ,1h 25m,TV-MA,432K,8.7
Avatar: The Last Airbender,2021 ,1h 25m,TV-MA,354K,9.3
South Park,2021 ,1h 25m,TV-MA,402K,8.7
The Super Mario Bros. Movie,2023,1h 32m,PG,227K,7.0
Star Wars: The Bad Batch,2021 ,1h 25m,TV-MA,49K,7.8
Bob's Burgers,2021 ,1h 25m,TV-MA,91K,8.2
Helluva Boss,2021 ,1h 25m,TV-MA,8.6K,8.2
Kimetsu no Yaiba,2021 ,1h 25m,TV-MA,141K,8.6
Elemental,2023,1h 41m,PG,114K,7.0
Bluey,2021 ,1h 25m,TV-MA,24K,9.4
Kung Fu Panda 4,2024,1h 34m,PG,not available,not available
BoJack Horseman,2021 ,1h 25m,TV-MA,184K,8.8
Arcane: League of Legends,2021 ,1h 25m,TV-MA,260K,9.0
Justice League: Crisis on Infinite Earths - Part One,2024,1h 33m,PG-13,2.5K,6.3
Monsutâzu Ippaku Sanjô Hiryû Jigoku,2021 ,1h 25m,TV-MA,not available,not available
Leo,2023,1h 42m,PG,30K,7.0
Sen to Chihiro no kamikakushi,2001,2h 5m,PG,834K,8.6
The Lord of the Rings: The War of the Rohirrim,2021 ,1h 25m,TV-MA,not available,not available
Nimona,2023,1h 41m,PG,39K,7.5
In the Know,2024 ,not available,not available,255,6.7
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,1h 39m,PG,57K,7.2
Futurama,2021 ,1h 25m,TV-MA,258K,8.5
Star Wars: The Clone Wars,2021 ,1h 25m,TV-MA,118K,8.4
Cars,2006,1h 57m,G,461K,7.2
Soul,2020,1h 40m,PG,372K,8.0
Archer,2021 ,1h 25m,TV-MA,164K,8.6
Sôsô no Furîren,2021 ,1h 25m,TV-MA,5.6K,8.9
Vinland Saga,2021 ,1h 25m,TV-MA,67K,8.8
Scavengers Reign,2021 ,1h 25m,TV-MA,12K,8.7
Sing 2,2021,1h 50m,PG,85K,7.4
Encanto,2021,1h 42m,PG,256K,7.2
The Lion King,1994,1h 28m,G,1.1M,8.5
Spider-Man: Into the Spider-Verse,2018,1h 57m,PG,656K,8.4
"Love, Death & Robots",2021 ,1h 25m,TV-MA,192K,8.4
American Nightmare,2021 ,1h 25m,TV-MA,9.9K,7.6
Love on the Spectrum U.S.,2021 ,1h 25m,TV-MA,2.4K,8.2
Love on the Spectrum,2021 ,1h 25m,TV-MA,7.1K,8.6
Will & Harper,2021 ,1h 25m,TV-MA,64,8.5
The Curious Case of Natalia Grace,2021 ,1h 25m,TV-MA,3.3K,6.8
20 Days in Mariupol,2023,1h 35m,TV-PG,3.4K,8.6
To Kill a Tiger,2021 ,1h 25m,TV-MA,188,7.5
On the Roam,2024 ,not available,not available,144,6.8
Les filles d'Olfa,2023,1h 47m,Not Rated,1.1K,7.4
You Are What You Eat: A Twin Experiment,2024,not available,not available,3.6K,5.9
Six Nations: Full Contact,2021 ,1h 25m,TV-MA,383,7.7
Dance Life,2024 ,not available,not available,243,8.6
The Last Repair Shop,2021 ,1h 25m,TV-MA,656,7.2
Welcome to Wrexham,2021 ,1h 25m,TV-MA,19K,8.3
La memoria infinita,2021 ,1h 25m,TV-MA,1.7K,7.6
Clarkson's Farm,2021 ,1h 25m,TV-MA,54K,9.0
24 Hours in Police Custody,2021 ,1h 25m,TV-MA,899,8.4
Chowchilla,2021 ,1h 25m,TV-MA,489,7.0
Taylor Swift: The Eras Tour,2023,2h 49m,PG-13,17K,8.2
Kevin James: Irregardless,2021 ,1h 25m,TV-MA,358,5.7
American Symphony,2023,1h 44m,PG-13,2K,7.0
Nathan for You,2021 ,1h 25m,TV-MA,37K,8.9
God & Country,2021 ,1h 25m,TV-MA,not available,not available
A Real Bug's Life,2021 ,1h 25m,TV-MA,122,6.9
Savvusanna sõsarad,2021 ,1h 25m,TV-MA,1.3K,7.4
The Rehearsal,2021 ,1h 25m,TV-MA,25K,8.5
The Prison Confessions of Gypsy Rose Blanchard,2024 ,not available,not available,370,7.2
Superhot: The Spicy World of Pepper People,2021 ,1h 25m,TV-MA,136,7.4
Bobi Wine: The People's President,2022,1h 53m,PG-13,414,7.2
Alexander: The Making of a God,2021 ,1h 25m,TV-MA,285,5.0
Still,2023,1h 35m,R,14K,8.1
The Curse of Oak Island,2021 ,1h 25m,TV-MA,6.5K,6.9
The Barber of Little Rock,2021 ,1h 25m,TV-MA,337,6.5
Nai Nai & Wài Pó,2021 ,1h 25m,TV-MA,114,7.2
Break Point,2021 ,1h 25m,TV-MA,4.1K,7.3
Ibelin,2021 ,1h 25m,TV-MA,75,8.8
Super/Man: The Christopher Reeve Story,2021 ,1h 25m,TV-MA,25,8.1
Bitconned,2024,1h 33m,TV-MA,2.1K,6.5
Jacqueline Novak: Get on Your Knees,2021 ,1h 25m,TV-MA,331,6.4
Planet Earth II,2021 ,1h 25m,TV-MA,156K,9.5
Mayday,2021 ,1h 25m,TV-MA,5.7K,8.8
Curry & Cyanide: The Jolly Joseph Case,2021 ,1h 25m,TV-MA,3K,6.7
Mommy Dead and Dearest,2017,1h 22m,TV-MA,12K,7.4
Mister Organ,2021 ,1h 25m,TV-MA,864,6.7
Bad Surgeon: Love Under the Knife,2021 ,1h 25m,TV-MA,3.5K,7.2
The Last Dance,2021 ,1h 25m,TV-MA,148K,9.1
World War II: From the Frontlines,2021 ,1h 25m,TV-MA,4.1K,8.2
The Playboy Murders,2023 ,not available,not available,263,6.5
Trafficked with Mariana Van Zeller,2021 ,1h 25m,TV-MA,1.2K,8.4
American Nightmare,2019 ,not available,not available,78,7.4
Griselda,2021 ,1h 25m,TV-MA,11K,7.5
Oppenheimer,2023,3h,R,619K,8.4
The Hill,2023,2h 6m,PG,3.2K,6.7
Ferrari,2023,2h 10m,R,20K,6.6
12th Fail,2021 ,1h 25m,TV-MA,92K,9.2
Maestro,2023,2h 9m,R,42K,6.7
Napoleon,2023,2h 38m,R,101K,6.5
The Iron Claw,2023,2h 12m,R,16K,8.1
The Crown,2021 ,1h 25m,TV-MA,252K,8.6
The Boys in the Boat,2023,2h 3m,PG-13,8.1K,7.0
Dumb Money,2023,1h 45m,R,30K,6.9
Feud,2021 ,1h 25m,TV-MA,22K,8.4
Nyad,2023,2h 1m,PG-13,22K,7.1
The Favourite,2018,1h 59m,R,222K,7.5
Bob Marley: One Love,2024,1h 44m,PG-13,not available,not available
Priscilla,2023,1h 53m,R,21K,6.7
Sound of Freedom,2023,2h 11m,PG-13,105K,7.7
Alive,1993,2h 8m,R,63K,7.1
One Life,2023,1h 50m,PG,4.3K,7.7
Rustin,2023,1h 46m,PG-13,6.6K,6.6
The Wolf of Wall Street,2013,3h,R,1.6M,8.2
Mr Bates vs. The Post Office,2024,not available,not available,7K,8.7
Shindleris sia,1993,3h 15m,R,1.4M,9.0
Spartacus: Blood and Sand,2021 ,1h 25m,TV-MA,254K,8.5
Black Bird,2021 ,1h 25m,TV-MA,99K,8.1
The Act,2021 ,1h 25m,TV-MA,37K,7.9
Narcos,2021 ,1h 25m,TV-MA,463K,8.8
Bastarden,2023,2h 7m,R,8.7K,7.7
Erin Brockovich,2000,2h 11m,R,217K,7.4
Elvis,2022,2h 39m,PG-13,227K,7.3
Tombstone,1993,2h 10m,R,164K,7.8
Goodfellas,1990,2h 25m,R,1.2M,8.7
The Great,2021 ,1h 25m,TV-MA,53K,8.2
The New Look,2024 ,not available,not available,not available,not available
Braveheart,1995,2h 58m,R,1.1M,8.3
House of Gucci,2021,2h 38m,R,157K,6.6
Julia,2021 ,1h 25m,TV-MA,12K,8.3
